# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
5.01902;0.69110;29138.55817;604774.67119;239815718.19587;16.11233;330.84050;0.01800;1099.53290;14.73363;28.55058;0.00271;171.30347;-1.37870;-302.28992;-0.01529;-928.22943;0.00000;0.00000;0.00000;0.00000
4.47176;0.88070;26499.99753;596226.23757;244553817.04675;15.85663;304.47671;0.01800;1033.82882;13.81078;26.76230;0.00257;160.57379;-2.04584;-277.71441;-0.01543;-873.25503;0.00000;0.00000;0.00000;0.00000
4.15915;0.64526;38050.97878;601881.39265;248398680.71578;16.11516;414.59872;0.01800;1352.93693;12.39666;24.02204;0.00197;144.13225;-3.71850;-390.57668;-0.01603;-1208.80468;0.00000;0.00000;0.00000;0.00000
4.81362;0.82155;27212.73532;601557.03084;246384884.47717;16.00476;311.66876;0.01800;1055.55905;14.54027;28.17588;0.00271;169.05527;-1.46450;-283.49288;-0.01529;-886.50379;0.00000;0.00000;0.00000;0.00000
4.43248;0.67735;24349.05733;592132.99003;241905172.71767;15.71880;282.45548;0.01800;971.93298;13.18471;25.54911;0.00263;153.29467;-2.53408;-256.90637;-0.01537;-818.63832;0.00000;0.00000;0.00000;0.00000
4.91348;0.63409;39935.28027;579150.09897;228435712.91411;15.52703;431.26138;0.01800;1378.63734;14.31422;27.73785;0.00226;166.42712;-1.21281;-403.52352;-0.01574;-1212.21022;0.00000;0.00000;0.00000;0.00000
4.43253;1.03451;22314.56590;610235.50852;247785816.83533;16.14965;261.18871;0.01800;924.12204;14.10642;27.33517;0.00281;164.01103;-2.04323;-233.85354;-0.01519;-760.11101;0.00000;0.00000;0.00000;0.00000
3.32014;0.94206;27506.92925;606825.69875;253242351.16767;16.14567;314.62216;0.01800;1072.33869;10.99762;21.31100;0.00192;127.86602;-5.14805;-293.31116;-0.01608;-944.47266;0.00000;0.00000;0.00000;0.00000
5.12815;0.62916;30107.31518;599469.04079;251160728.32790;15.98459;340.34041;0.01800;1140.40471;14.85539;28.78653;0.00271;172.71916;-1.12919;-311.55388;-0.01529;-967.68554;0.00000;0.00000;0.00000;0.00000
4.48892;0.79496;27911.28363;635814.00418;247507689.47930;16.90466;318.66694;0.01800;1075.99676;13.63381;26.41936;0.00250;158.51617;-3.27085;-292.24758;-0.01550;-917.48058;0.00000;0.00000;0.00000;0.00000
3.83193;1.13233;23455.64343;675106.97183;238471724.32622;17.84039;273.16893;0.01800;943.23731;12.80913;24.82131;0.00241;148.92786;-5.03126;-248.34762;-0.01559;-794.30945;0.00000;0.00000;0.00000;0.00000
6.46076;0.50305;35013.84574;611344.05417;235323966.19426;16.34152;386.97331;0.01800;1253.59128;17.96849;34.81904;0.00312;208.91422;1.62697;-352.15427;-0.01488;-1044.67706;1.00000;0.00000;0.00000;0.00000
5.03932;0.81503;33331.66614;660042.25084;227225611.23874;17.60168;371.26429;0.01800;1197.47010;15.10580;29.27175;0.00256;175.63053;-2.49588;-341.99253;-0.01544;-1021.83958;0.00000;0.00000;0.00000;0.00000
4.92671;1.06337;36296.17274;597923.39115;250909961.34247;15.99865;398.75289;0.01800;1308.42065;15.45603;29.95042;0.00243;179.70254;-0.54262;-368.80247;-0.01557;-1128.71811;0.00000;0.00000;0.00000;0.00000
4.77497;1.08954;42785.81075;641880.57193;239621141.50801;17.20020;455.77444;0.01800;1470.48911;15.13200;29.32252;0.00218;175.93513;-2.06821;-426.45192;-0.01582;-1294.55399;0.00000;0.00000;0.00000;0.00000
